section,key,fund,value,detail
set_total,2026-07-22,ACH,5585581.92,stated=5585581.92;status=reconciled;lines=1541;checks=336;hash_total=3108874288296
set_total,2026-07-22,ASB,95957.48,stated=95957.48;status=reconciled;lines=141;checks=41;hash_total=37071483753
set_total,2026-07-22,Capital,127028.73,stated=127028.73;status=reconciled;lines=12;checks=9;hash_total=9263671450
set_total,2026-07-22,GF,2265713.66,stated=2265713.66;status=reconciled;lines=1020;checks=254;hash_total=37193120734
register_crosscheck,2026-07-22,ACH,,basis=ap_direct_deposit;register=None;listing=5585581.92;reason=REGISTER_NO_TEXT
register_crosscheck,2026-07-22,ASB,,basis=warrants_plus_pcard;register=None;listing=95957.48;reason=REGISTER_NO_TEXT
register_crosscheck,2026-07-22,Capital,,basis=warrants_plus_pcard;register=None;listing=127028.73;reason=REGISTER_NO_TEXT
register_crosscheck,2026-07-22,GF,,basis=warrants_plus_pcard;register=None;listing=2265713.66;reason=REGISTER_NO_TEXT
top_vendor,Sunburst Workforce Advisors LLC,,949107.73,lines=12;checks=4;all_reconciled=True
top_vendor,Puget Sound Energy,,555222.43,lines=14;checks=3;all_reconciled=True
top_vendor,First Student Inc,,375159.05,lines=4;checks=1;all_reconciled=True
top_vendor,Everdriven Technologies LLC,,276533.84,lines=9;checks=4;all_reconciled=True
top_vendor,AMAZON CAPITAL SERVICES,,271114.88,lines=765;checks=4;all_reconciled=True
top_vendor,KEA,,260202.61,lines=1;checks=1;all_reconciled=True
top_vendor,US Foods - Seattle,,258667.61,lines=14;checks=4;all_reconciled=True
top_vendor,Bellevue College,,256647.93,lines=1;checks=1;all_reconciled=True
top_vendor,FEDERAL WAY PUBLIC SCHOOLS,,223425.50,lines=1;checks=1;all_reconciled=True
top_vendor,Bank Of America,,213220.54,lines=719;checks=9;all_reconciled=True
top_vendor,Republic Svcs-#176/183,,139814.33,lines=2;checks=2;all_reconciled=True
top_vendor,Comm in Schs of Kent,,127660.30,lines=4;checks=2;all_reconciled=True
