section,key,fund,value,detail
set_total,2026-08-26,ACH,15001072.89,stated=15001072.89;status=reconciled;lines=981;checks=382;hash_total=3534494119665
set_total,2026-08-26,ASB,14330.26,stated=14330.26;status=reconciled;lines=14;checks=12;hash_total=5021994
set_total,2026-08-26,Capital,403772.77,stated=403772.77;status=reconciled;lines=26;checks=21;hash_total=18527969964
set_total,2026-08-26,GF,2474622.84,stated=2474622.84;status=reconciled;lines=708;checks=272;hash_total=27946350266
set_total,2026-08-26,Trust,4500.00,stated=4500.00;status=reconciled;lines=2;checks=2;hash_total=1400287
register_crosscheck,2026-08-26,ACH,0.00,basis=ap_direct_deposit;register=15001072.89;listing=15001072.89;reason=MATCH
register_crosscheck,2026-08-26,ASB,0.00,basis=warrants_plus_pcard;register=14330.26;listing=14330.26;reason=MATCH
register_crosscheck,2026-08-26,Capital,0.00,basis=warrants_plus_pcard;register=403772.77;listing=403772.77;reason=MATCH
register_crosscheck,2026-08-26,GF,5308.80,basis=warrants_plus_pcard;register=2469314.04;listing=2474622.84;reason=REGISTER_MISMATCH
register_crosscheck,2026-08-26,Trust,0.00,basis=warrants_plus_pcard;register=4500.00;listing=4500.00;reason=MATCH
top_vendor,GREEN RIVER COLLEGE,,3061429.95,lines=4;checks=2;all_reconciled=True
top_vendor,Waynes Roofing Inc,,990426.61,lines=1;checks=1;all_reconciled=True
top_vendor,Puget Sound Energy,,744869.47,lines=17;checks=4;all_reconciled=True
top_vendor,PREMIER FIELD DEVELOPMENT INC,,454196.95,lines=2;checks=2;all_reconciled=True
top_vendor,Axiom - Division 7 Inc,,360679.07,lines=1;checks=1;all_reconciled=True
top_vendor,Pacific Lamp & Supply Company,,320751.59,lines=13;checks=3;all_reconciled=True
top_vendor,Sunburst Workforce Advisors LLC,,308254.73,lines=6;checks=3;all_reconciled=True
top_vendor,First Student Inc,,292156.40,lines=20;checks=2;all_reconciled=True
top_vendor,Highline College,,262180.49,lines=1;checks=1;all_reconciled=True
top_vendor,KEA,,253707.07,lines=1;checks=1;all_reconciled=True
top_vendor,Eagle Asphalt Sealcoating Co LLC,,209211.84,lines=7;checks=4;all_reconciled=True
top_vendor,Brink Electric LLC,,206689.20,lines=2;checks=1;all_reconciled=True
top_vendor,Elevation Healthcare LLC,,191551.46,lines=14;checks=1;all_reconciled=True
top_vendor,KCDA,,152282.73,lines=77;checks=5;all_reconciled=True
top_vendor,Ednetics Inc,,146280.58,lines=3;checks=1;all_reconciled=True
